status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,,Solo Leisure,Economy Class,San Francisco to Palma de Mallorca via Paris,September 2022,3.0,3.0,4.0,5.0,,3.0,3,no,3,"  I arrived to Palma de Mallorca, Spain from San Francisco, California on September 23rd, 2022. I filed my missing baggage claim on the 30th of September, 2022 and presented receipts for some of the articles I had replaced within that time frame between my arrival and my request for compensation. I was awarded the money compensation I applied for and the Air France Customer Care Assistance said they would have the money wired to my bank account over the next several weeks. I haven't seen a penny of the compensation. I called Air France Spain yesterday and the representative reopened the claim for investigation into whether or not the payment was initiated or not or if I may need to provide additional bank account information. Instead of further investigation or engagement with me, I received and email stating that the claim was handled ""correctly"" and that no further correspondence with me would be continued based on this topic. So, in the end, I have received no compensation I was told I would receive and no follow-up was even considered. Now, I will turn to contacting their customer service via social media to see if I shall get a different result. Unfortunately, according to the email, it was one representative navigating my claim this entire time with no option to speak to the person directly in charge of discharging financial compensation. Be careful with your items with Air France and I recommend keeping more of your valuables and preferred clothing in your carry on bag. I lost a lot more than I can afford to replace on my Spanish income. I would share screenshots of the email in question but it is forbidden. "
Not Verified ,A350,Solo Leisure,Economy Class,Chicago to Paris,November 2022,4.0,4.0,3.0,4.0,3.0,3.0,4,yes,7,"  The plane was nice. IFE was pretty good. The main meal was decent but the second meal was a small snack delivered in a small bag. The staff in the plane from Chicago to Paris was not very friendly. The staff in the way back from Paris to Chicago was very kind and helpful. Big difference. Lastly, my checked bag didn't make it to Chicago. The staff at Chicago didn't really want to help me. One spent a few moments trying to register a claim, gave up, handed me a card with instructions and walked away. I tried someone else about 15 minutes later, while she was not happy to help, she did complete the claim for me which I appreciated. The bag was delivered to my door, 200 miles from the airport, the next day was was great. I would fly Air France again."
✅ Trip Verified ,A320 / Boeing 777-200,Solo Leisure,Business Class,Manchester to Bangkok via Paris ,November 2022,3.0,5.0,5.0,4.0,,4.0,5,yes,9,"  The Manchester to Paris segment was very average with a very poor seat pitch but for a 1hr 20 min flight I could grin and bear it. However the Paris to Bangkok segment was excellent on all counts. The service provided by Aurelie Luche was outstanding, professional and ever so efficient and friendly. The food for the 11hour and twenty minute flight was plentiful and tasty. The overall comfort of the seat was not that outstanding but I have to say that what was my first flight with Air France it certainly won't be my last. Well done to the crew, especially to Aurelie."
✅ Trip Verified ,Boeing 777-200ER,Business,Economy Class,Paris to Miami,November 2022,4.0,5.0,4.0,5.0,5.0,4.0,5,yes,10,"  Glitch with agent put me in regular window seat, instead of paid exit row. Although plane was near capacity, flight attendant went to great lengths to find me an aisle seat and overhead space for camera equipment. Just after take off, one of my ear buds became dislodged and fell to floor. I was not able to find it for duration of flight. After everyone else deplaned, I searched to no avail, and was about to quit the search. 3 flight attendants joined the search, and one of them found missing ear bud 4 rows behind my row. The pair retails for $250! I thanked her profusely, and offered to send her a photo gift. I hope she replies. This flight crew was very professional, positive and engaging."
✅ Trip Verified ,Boeing 777,Solo Leisure,Business Class,Mexico City to Paris,November 2022,2.0,5.0,5.0,5.0,4.0,4.0,5,yes,8,"  Wonderful flight. Extremely professional crew and delicious food. I didn't love the seat and found it a bit narrow compared to others, but didn't detract from the experience. Would recommend."
✅ Trip Verified ,Boeing 777,Couple Leisure,Economy Class,Punta Cana to Paris CDG,November 2022,4.0,5.0,4.0,3.0,,4.0,5,yes,8," A good return trip to PUJ in the Caribbean with AF from CDG. They have a very solid product. Good quality food -two services - and even champagne in economy which is a great classy touch. Cabin crew were immaculately presented on both legs and friendly and highly professional. Additional drinks on demand. IFE is not to my taste but I am not a big user of IFE. If there was any fault it would be the numerous announcements in English, French and Spanish which was a bit much. Also lights a bit bright at other times. Baggage handling and check in fine on both legs. A good solid product from a classic legacy carrier."
✅ Trip Verified ,,Business,Business Class,Miami to Zanzibar via Paris,August 2022,3.0,2.0,1.0,1.0,1.0,2.0,1,no,2,"  Air France business class lounge in Zanzibar is non-existent! Air France in Zanzibar does not have a contract for its passengers to use the Business Class lounge so even if you have paid for a business class ticket, to use the lounge in Zanzibar airport, you will be told to pay USD $30. Air France knows that their business class passengers will not be able to use the lounge and they make sure not to advise passengers. You will make the discovery when you attempt to enter the lounge. When I contacted Air France for a refund, they told me that they are not responsible for business lounges outside of France! That’s called collecting money under false pretences!  I went online to request my gluten-free meal. I called Air France twice to confirm that the meals had been ordered. However, on the 8 hour flight from Paris to Miami, Air France forgot to provide a gluten free meal. So I enjoyed nuts and juices for the 8-hour flight. When I contacted Air France, they told me that they were sorry. No compensation for their error. The moral of the story - if you need a gluten-free meal in business class, take your meal on board with you! That's after you pay the business class fare of $3200!"
✅ Trip Verified ,Embraer 190,Couple Leisure,Economy Class,Düsseldorf to Paris CDG,October 2022,4.0,5.0,4.0,,,5.0,5,yes,9, Nice short trip on time. We were even served a sandwich and drink on a 45 min flight. Outstanding: due to train delay I arrived at airport just 40 min before flight. Pulled me through first and even baggage arrived.
✅ Trip Verified ,,Couple Leisure,Economy Class,Paris Orly to Pointe-à-Pitre,May 2022,2.0,1.0,2.0,3.0,1.0,1.0,1,no,1,"  Our flight in June 2022 was already late, and once in the plane and already moving on the ground in order to take-off, the crew detected a fuel leak,o we had to ""pass by technical control"", while remaining in the plane. After having waited 1 hour in the aircraft with an obviously upset crew, they finally told us that this aircraft could not fly and that we have to wait in the airport for another aircraft to continue our journey. After waiting 2 hours in a very limited area, Air France announces that we can eventually not depart ""as we will land in Pointe-à-Pitre too late because there is a curfew"". So we have to move in the main lobby to pre-check-in for the next day, but we have to wait again as they don't know from which airport in Paris we have to leave the following day. So the desk remains closed. It's already been 5 hours since the trouble started, and at last they provide us with a bottle of water. Nothing before. Everyone is getting very upset with the situation and waiting for Air France to organize our unexpected night in Paris, to finally hear : ""We will not take care of your accomodation and transportation, please make your own plans, we will reimburse you afterwards"". The flight was in June, nothing has been reimbursed so far, and not even my request has been answered by October. "
✅ Trip Verified ,Boeing 777,Business,Business Class,Mauritius to Paris,October 2022,4.0,1.0,4.0,3.0,5.0,2.0,2,no,6,"  Air France Business Class Mauritius to Paris Boeing 777. Recent seats and good food but got the impression that the cabin crew forgot me. Meal selection was limited, forgot to serve me dessert. When asked it was served on the table without table cloth without any napkin. When asking for a napkin, I was given a large table cloth. For breakfast had to use the call button a few times to get an orange juice and another tea. Travelling is not only about cabin product seats and meals, you need to feel welcomed and pampered. This was not the case for Air France crew on this flight."
